State	Masjid Name	Address	Zip Code	Image? 	Link	Zakat-ul-Fitr	Email 
Illinois	Masjid DarusSalam	21W525 North Avenue, Lombard, IL 60148	60148	.	http://www.darussalamfoundation.org/	$7.00	office@MasjidDS.org
Illinois	MCC Chicago	4380 N. Elston Ave. Chicago, IL 60641	60641	.	https://mccchicago.org/	$7.00	.
Illinois	CIMIC	106 S. Lincoln Ave, Urbana, IL 61801	61801	.	https://www.cimic.org/donate/	$12.00	cimic@cimic.org
Illinois	Islamic Center of Quad Cities	6005 34th Ave. Moline, IL 61265	61265	.	http://icqconline.org/zakatul-fitr-2020/	$10.00	zafaralisyed@gmail.com
Indiana	Masjid Al Mumineen	4088 Millersville Rd, Indianapolis, IN 46205	46205	.	https://www.masjidmumineen.com/donate	$10.00	masjidalmumineenindy@gmail.com
Indiana	Illiana Islamic Association	9608 Spring St, Highland, IN 46322	46322	.	https://www.highlandmasjid.org/donations/zakat-al-fitr/	$10.00	info@highlandmasjid.org
Iowa	Islamic Center of Cedar Rapids	2999 1st Avenue Southwest, Cedar Rapids, IA, 52405	52405	.	https://www.crmosque.com/	$10.00	info@crmosque.com
Kansas	Topeka Masjid	1115 Southeast 27th Street Topeka, KS 66605	66605	.	http://topekamosque.org/	$10.00	shura@topekamosque.org
Kansas	Islamic Center of Johnson County.	9005 W 151st Street Overland Park, KS 66221	66221	.	https://icjc.kindful.com/	$10.00	info@icjc.org
Kentucky	Masjid Bilal	1545 Russell Cave Rd, Lexington, KY 40505	40505	.	https://www.masjidbilalky.org/	$10.00	info@masjidbilalky.org
Louisiana	Islamic Society of Lake Charles	612 College Manor Dr, Lake Charles, LA 70607	70607	.	https://islamicsocietylc.org/zakat-calculation-spreadsheet-for-download/	$10.00	.
Louisiana	Islamic Center of Lafayette	700 Tulane Ave Lafayette, Louisiana 70503-2143	70503	.	https://www.facebook.com/IslamicCenterOfLafayette/photos/pb.117346414950745.-2207520000../3174520369233319/?type=3&theater	$11.00	islamiccenteroflafayette@gmail.com
Maryland	Ali Khan Islamic Center	4831 Silver Hill Rd 2nd floor, Hillcrest Heights, MD 20746	20746	.	https://www.akhanic.org/	$9.00	info@akhanic.org
Maryland	Islamic Society of Baltimore	6631 Johnnycake Road, Baltimore, Maryland 21244, USA	21244	.	https://us.mohid.co/md/mdrgn/isb/masjid/online/donation	$10.00	.
Maryland	Islamic Center of Maryland	19411 Woodfield Rd, Gaithersburg, MD, 20879	20879	.	https://www.icomd.org/	$10.00	icmadmin@icomd.org
Massachusetts	Islamic Center of New England	74 Chase Drive, Sharon, Massachusetts 02067,	02067	.	https://us.mohid.co/ma/boston/icne/masjid/online/donation/index/7	$10.00	 president@icne.net
Massachusetts	Islamic Society of Framingham	234 Union Ave, Framingham, MA 01702	01702	.	https://www.islamicsocietyframingham.org/zakat	$10.00	contactus@islamicsocietyframingham.org
Massachusetts	The Worcester Islamic Center	248 East Mountain Street, Worcester, MA 01606	01606	.	https://www.wicmasjid.org/	$10.00	wic.feedback@gmail.com
Michigan	ICD	14350 Tireman Ave, Detroit, MI 48228	48228	.	https://icdonline.org/	$10.00	secretary@icdonline.org
Michigan	Islamic Association of Michigan	18105 Racho Rd, Brownstown MI 48193	48193	.	https://www.masjidubk.org/	$7.00	contact@masjidubk.org
Michigan	Islamic Center of America	19500 ford Rd, Dearborn, MI 48128	48128	.	http://www.icofa.com/	$10.00	contact@icofa.com
Minnesota	NWICC	3300 Plymouth Blvd. Plymouth MN 55447	55447	.	https://www.nwiccmn.org/zakat-ul-fitr	$10.00	NWICCBOD@yahoogroups.com
Minnesota	The Islamic Institute of Minnesota- IIM	1351 Riverwood Drive Burnsville, MN 55337	55337	.	http://www.islamicinstituteofmn.com/	$12.00	info@islamicinstituteofmn.com
Mississippi	.	.	.	.	.	.	.
Missouri	ICCM	201 South Fifth St. Columbia, MO 65203	65203	.	http://www.theiccm.org/	$10.00	theicofcm @ gmail com
Montana	.	.	.	.	.	.	.
Nebraska	.	.	.	.	.	.	.
Nevada	.	.	.	.	.	.	.
New Hampshire	ISSA	42N Dover Point Rd., Dover, NH 03820	03820	.	http://www.issa-nh.org/	$10.00	issa@issa-nh.org
New Hampshire	Islamic Society of Greater Nashua	5 Pine Street Extension, Unit  1C, Nashua, NH 03060	03060	.	http://www.isgn.org/	$11.00	isgnnh@gmail.com
New Hampshire	IS of NH	373 S Willow Street D1-4 Manchester, NH 03103	03103	.	https://www.isofnh.org/	$10.00	info@isofnh.org
New Jersey	NBIC	1330 Livingston Ave, Unit 4, North Brunswick, NJ 08902	08902	.	https://www.nbic.org/	$10.00	info@nbic.org
New Jersey	MCNJ	15 South 2nd St, Fords, NJ 08863	08863	.	https://www.mcnjonline.com/donate/	$10.00	.
New Jersey	NIA Masjid	231 Roseville Avenue, Newark, New Jersey 07107, USA	07107	.	https://us.mohid.co/nj/newark1/niamasjid/masjid/online/donation/index/	$8.00	info@niamasjid.org
New Mexico	Albequerque Islamic Center	.	.	.	https://www.abqislamiccenter.org/contact	.	info@abqislamiccenter.com
New Mexico	Islamic Center of New Mexico	.	.	.	https://icnmabq.com/contact-us	.	omarelemawy@gmail.com
New Mexico	Southern New Mexico Islamic Center	.	.	.	https://snmic.org/donate/	.	info@snmic.org
New York	Islamic Council of America - Madina Masjid	.	.	.	http://madinamasjidnyc.org/about-us	.	contact@madinamasjidnyc.org
New York	Masjid Ar Rahman	.	.	.	http://masjidarrahmannyc.org/	.	info@masjidarrahmannyc.org
New York	Islamic Cultural Center of New York	1711 3rd Ave New York, NY 10029	10029	.	https://icc-ny.us/donate/	$10.00	iccny96@live.com
New York	Masjid Manhattan	30 Cliff Street New York, New York 10038	10038	.	https://www.masjidmanhattan.com/index.php/donate-now	$10.00	info@masjidmanhattan.com
New York	Masjid Hazrat Abubakr	141-47 33rd AVE, Flushing, NY 11354	11354	.	http://masjid-abubakr.org/	$8.00	info@masjid-abubakr.org
North Carolina	Northern Durham Islamic Association    	2609 W. Carver St Durham, N.C. 27705	27705	.	http://www.northdurhammasjid.org/	$13.00	admin@northdurhammasjid.org
North Carolina	Islamic Center of Charlotte	1700 Progress Lane, Charlotte NC, 28205	28205	.	https://iccharlotte.org/	$10.00	info@iccharlotte.org
North Carolina	Community Mosque of Winston Salem 	.	.	.	https://communitymosque.com/donate/	.	admin@communitymosque.com
North Carolina	ICGNC	.	.	.	http://icgnc.com/	.	arimiao76@yahoo.com
North Carolina	Raleigh Masjid	808 Atwater Street Raleigh, NC 27607	27607	.	https://raleighmasjid.org/	$13.00	office@raleighmasjid.org
North Carolina	MYCC-RDU	3209 Gresham Lake Rd #131, Raleigh, NC 27615	27615	.	http://mycc-rdu.org/	$13.00	myccrdu@mycc-rdu.org
North Dakota	Islamic Society of Fargo Moorhead	.	.	.	http://islamnd.org/Donate.aspx	.	islamndfargo@gmail.com
Ohio	Masjid Bilal of Cleveland	.	.	.	http://masjidbilalofcleveland.org/contact/	.	masjidbilalofcleveland@gmail.com​
Ohio	Uqbah Mosque 	.	.	.	https://tumf.org/	.	officeumfoundation@gmail.com
Ohio	Islamic Center of Greater Toledo	25877 Scheider Rd. Perrysburg, OH 43551	43551	.	https://icgt.org/donate/	$10.00	info@icgt.org
Ohio	Islamic Society of Greater Dayton	.	.	.	http://www.isgd.org/donation/	.	isgd@hotmail.com
Ohio	Masjid Omar Ohio	580 Riverview Dr. Columbus, OH 43202	43202	.	https://www.masjidomarohio.org/	$10.00	info@masjidomarohio.org
Oklahoma	ISGOC	.	.	.	http://www.isgoc.com/site/contact/	.	info@isgoc.com
Oklahoma	Edmond Masjid	.	.	.	https://edmondmasjid.org/donate/	.	Newedmondmasjid@gmail.com
Oklahoma	Grand Mosque OKC	.	.	.	https://www.amaokc.com/	.	grandmosqueokc@gmail.com
Oregon	Bilal Masjid	.	.	.	http://bilalmasjid.com/Zakat/Zakat-ul_Fitr.aspx	$7.00	bilalmasjid@bilalmasjid.com
Oregon	Masjid As Saber	10323 SW 43rd Ave, Portland, OR 97219	97219	.	https://secure-q.net/donations/IslamicCP/1228	$7.28	treasurer@assaber.com
Pennsylvania	Masjid Al Madinah	.	.	.	https://masjidalmadinah.org/donate/	.	info@udicpa.org
Pennsylvania	Muslim Association of Lehigh	1988 Schadt Avenue Whitehall, PA 18052	18052	.	https://mymasjidconnect.com/donate/10001	$10.00	info@malv.org
Rhode Island	Masjid Zamratul Jannah	.	.	.	https://zumratuljannahri.wixsite.com/home	.	masjidzamratul.jannah@gmail.com
Rhode Island	Masjid AlHoda	.	.	.	http://masjidalhoda.com/?page_id=42	.	hardbelief@gmail.com
South Carolina	ISG - Greenville	.	.	.	.	.	eboard@greenvillemasjid.com
South Carolina	Florence Islamic Center	.	.	.	https://florenceislamiccenter.org/	.	info@florenceislamiccenter.org
South Carolina	ICCSC	1048 Gant Rd, Fort Mill, SC, 29707	29707	.	https://iccsc.org/	$10.00	.
South Dakota	Islamic Center of Sioux Falls	.	.	.	.	.	islamiccenterofsiouxfalls@gmail.com
Tennessee	Masjid Ar-Rahman - Islamic Association of Greater Memphis	7906 Lowrance Road Memphis, TN 38125	38125	.	https://www.masjid-arrahman.org/donate	$10.00	info@masjid-arrahman.org
Tennessee	ICNTN	2515 12th Avenue S, Nashville, TN 37204	37204	.	https://www.icntn.org/post/imam-memo-2020-05-16	$10.00	info@icntn.org
Tennessee	Muslim Community of Knoxville	.	.	.	https://muslimknoxville.org/	.	admin@muslimknoxville.org
Tennessee	Islamic Socity of Memphis 	.	.	.	http://memphismuslims.org/contact/	.	memphismuslims@hotmail.com
Texas	Islamic Center of Irving	2555 Esters Rd, Irving, TX 75062	75062	.	https://irvingmasjid.org/fitr/	$10.00	.
Texas	Islamic Center of Quad Cities	3620 TX-121 #200, Plano, TX 75025	75025	.	https://icqcmasjid.org/	$10.00	education@icqcmasjid.org
Texas	ISGH - Islamic Society of Greater Houston	3110 Eastside Street Houston TX 77098	77098	.	https://isgh.kindful.com/?campaign=302838	$10.00	comptroller@isgh.org
Texas	Al Noor	East #, 10804 US-290 Manor, TX 78653	78653	.	https://alnoormcc.org/	$10.00	info@alnoormcc.org
Utah	Khadeeja Islamic Center	.	.	.	http://www.utahmuslims.com/?page_id=38	.	ec@utahmuslims.com
Vermont	ICCVT	.	.	.	https://www.vticc.org/	.	iccvt.islam@gmail.com
Vermont	ISVT	.	.	.	http://isvt.org/	.	salam@isvt.org​
Virginia	Dar Al Hijrah Islamic Center	3159 Row St, Falls Church, VA 22044	22044	.	https://hijrah.org/	$12.00	.
Virginia	Islamic Center of Fredericksburg (ICF)	7020 Harrison Road Fredericksburg, VA 22407	22407	.	https://secure.qgiv.com/for/icof/restriction/ZakatAlFitr	$10.00	icf@islamiccf.org
Virginia	Masjid Aliya - Stafford	2604 Jefferson Davis Hwy Stafford, VA 22554	22554	.	https://masjidaliya.org/	$10.00	info@masjidaliya.org
Virginia	ADAMS Center	.	.	.	https://www.adamscenter.org/	.	contactus@adamscenter.org
Virginia	Mustafa Center	6844 Braddock Rd, Anandale, Virginia 22003, USA	22003	.	https://us.mohid.co/va/richmond/mustafa/masjid/online/donation	$10.00	contact@mustafacenter.org
Washington	Redmond Mosque	.	.	.	https://www.redmondmosque.org/contact-us/	.	board@redmondmosque.org
Washington	Idris Mosque	1420 NE Northgate Way, Seattle, WA 98125, USA	98125	.	https://www.idrismosque.com/zakat-al-fitr-donation	$15.00	askus@idrismosque.com
Washington	Masjid Umar Al Farooq	5507 238th St SW Mountlake Terrace, WA 98043	98043	.	http://farooqmasjid.org/donations/donate.html	$10.00	info@farooqmasjid.org
West Virginia	ISAR	.	.	.	http://www.isarcenter.org/contact.html	.	isarwv@email.com
West Virginia	IAWVEC	.	.	.	https://www.iawv.net/index.php	.	iawvec@gmail.com
West Virginia	IC Morgantown	434 Harding Ave. Morgantown WV 26505	26505	.	https://www.icmorgantown.org/	$10.00	treasurer@icmorgantown.org
Wisconsin	Islamic Center of East Madison	.	.	.	http://islamiccenterofeastmadison.com/	.	keitao1992@gmail.com
Wisconsin	ISM West	.	.	.	http://ismwest.org/18/contact-us	.	info@ismwest.org
Wisconsin	Islamic Society of Central Wisconsin (Masjid Al-Noor)	.	.	.	http://iscw.us/18/contact-us	.	info@iscw.us
Wisconsin	Masjid Al Huda	.	.	.	https://alhudamke.org/contact-us/	.	info@alhudamke.org
Wyoming	Islamic Center of Laramie	.	.	.	https://www.iclaramie.com/resources/	.	info@iclaramie.com
